"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2024","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","9.3","11.4","8.2"
"2024","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","8.3","10.3","7.6"
"2024","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","7.9","9.8","7.4"
"2024","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7.4","9.1","7.1"
"2024","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","7.2","9.0","7.0"
"2024","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7.3","9.0","7.0"
"2024","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.1","8.8","6.9"
"2024","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7.2","8.9","6.9"
"2024","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.8","8.4","6.8"
"2024","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.8","8.5","6.7"
"2024","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","6.7","8.3","6.6"
"2024","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","6.7","8.4","6.5"
"2024","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","6.8","8.4","6.5"
"2024","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","6.6","8.2","6.4"
"2024","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","6.7","8.4","6.4"
